Date,Harvester,Time,Seedling,Water level,N,Total tips,Colonized tips,Root mass (mg),Frozen at time,Notes
20220204,Laura,12:45,MM101,H,Plus,NA,NA,0.5,12:51 PM,no fungi
20220204,Laura,12:53,HC020,H,Minus,28,23,0.52,13:05,mycos look low quality; not much hyphae
20220204,Laura,13:58,HC046,L,Plus,61,37,0.77,14:11,
20220204,Laura,14:12,MM015,L,Plus,NA,NA,0.39,14:22,
20220204,Laura,14:23,HC007,L,Plus,108,88,0.72,14:37,
20220204,Laura,14:40,HC008,H,Minus,89,70,0.66,14:51,Great! Hyphae ALL over roots
20220204,Laura,14:52,MM034,H,Minus,NA,NA,0.6,14:59,
20220204,Laura,15:02,HC101,M,Minus,21,13,0.34,15:08,Small
20220204,Laura,15:13,HC066,M,Plus,44,23,0.49,15:21,
20220204,Laura,15:28,HC021,M,Minus,60,34,0.41,15:39,
20220204,Isobel,10:50,HC062,L,Plus,60,32,0.34,11:40,
20220204,Isobel,11:45,MM047,M,Minus,NA,NA,0.31,12:00,
20220204,Laura,12:00,HC067,M,Plus,150,124,0.46,12:25,
20220204,Isobel,12:10,HC058,H,Plus,83,61,0.52,12:25,
20220204,Isobel,12:25,MM010,M,Plus,NA,NA,0.65,12:30,
20220204,Isobel,12:35,MM091,L,Plus,NA,NA,0.5,12:45,
20220204,Isobel,12:45,MM066,H,Minus,NA,NA,0.64,12:55,
20220204,Isobel,12:55,MM082,M,Plus,NA,NA,0.45,13:00,
20220204,Oceana,13:55,HC027,M,Minus,90,71,0.51,14:12,
20220204,Oceana,14:13,MM029,M,Minus,NA,NA,0.43,14:20,
20220204,Oceana,14:22,MM056,H,Plus,NA,NA,0.34,14:30,
20220204,Oceana,14:32,HC028,H,Plus,84,56,0.63,14:51,
20220204,Oceana,14:53,MM043,H,Plus,NA,NA,0.47,15:01,
20220204,Oceana,15:02,MM044,M,Minus,NA,NA,0.56,15:08,
20220204,Oceana,15:18,MM031,M,Minus,NA,NA,0.33,15:22,
20220204,Oceana,15:23,MM057,M,Plus,NA,NA,0.43,15:32,star -- plus? med? double check seedling status.
20220204,Laura,10:50,MM064,L,Plus,NA,NA,0.62,11:00,
20220204,Oceana,11:30,MM045,L,Plus,NA,NA,0.54,11:38,
20220204,Oceana,11:38,HC105,H,Plus,68,55,0.57,11:59,
20220204,Oceana,12:05,HC042,H,Minus,106,65,0.59,12:19,
20220204,Oceana,12:20,MM017,H,Minus,NA,NA,0.69,12:28,
20220204,Oceana,12:30,HC075,L,Plus,73,62,0.42,12:55,
20220204,Oceana,12:56,HC048,M,Plus,21,12,0.29,13:06,
20220204,Isobel,14:40,MM079,L,Plus,NA,NA,0.58,14:45,
20220204,Isobel,14:47,HC068,H,Plus,75,60,0.56,15:00,
20220204,Isobel,15:02,HC077,M,Minus,48,43,0.39,15:15,
20220204,Isobel,15:15,MM087,M,Plus,NA,NA,0.57,15:25,
20220204,Isobel,15:25,HC003,M,Plus,95,74,0.41,15:37,
20220204,Isobel,15:40,MM038,H,Minus,NA,NA,0.41,,frozen time not noted.
20220204,Oceana,15:34,HC091,H,Minus,86,69,0.52,,frozen time not noted.
20220206,Oceana,10:49,MM051,M,Plus,NA,NA,0.33,10:55,
20220206,Oceana,10:56,HC092,L,Plus,91,60,0.43,11:18,
20220206,Oceana,11:19,MM039,M,Minus,NA,NA,0.65,11:26,
20220206,Oceana,11:31,HC082,H,Plus,76,44,0.53,11:44,
20220206,Oceana,11:45,HC095,H,Minus,66,48,0.64,11:57,
20220206,Oceana,12:00,MM081,M,Plus,NA,NA,0.48,12:04,
20220206,Oceana,12:10,HC073,H,Plus,61,23,0.48,12:22,"lower half of roots sad, uncolonized, black tips"
20220206,Oceana,12:23,HC011,L,Plus,99,83,0.27,12:34,
20220206,Oceana,12:37,MM077,H,Plus,NA,NA,0.64,12:43,
20220206,Oceana,12:44,MM002,H,Plus,NA,NA,0.91,12:50,
20220206,Oceana,13:36,MM046,M,Plus,NA,NA,0.5,13:41,
20220206,Oceana,13:42,MM018,H,Plus,NA,NA,0.46,13:47,sad seedling
20220206,Oceana,13:53,MM054,L,Plus,NA,NA,0.59,14:03,
20220206,Oceana,14:04,HC097,L,Plus,64,48,0.35,14:18,smaller root system
20220206,Oceana,14:22,HC065,M,Plus,89,72,0.4,14:53,
20220206,Oceana,14:41,HC030,L,Plus,94,79,0.36,14:53,
20220206,Glade,10:45,HC022,M,Plus,50,35,0.53,11:16,
20220206,Glade,11:10,MM061,H,Minus,NA,NA,0.52,11:27,
20220206,Glade,11:26,MM026,L,Plus,NA,NA,0.62,11:39,
20220206,Glade,11:41,HC051,M,Plus,84,60,0.51,12:06,
20220206,Glade,12:09,MM033,L,Plus,NA,NA,0.59,12:20,
20220206,Glade,12:22,HC044,H,Minus,77,72,0.75,12:41,
20220206,Glade,13:36,MM025,M,Minus,NA,NA,0.33,13:43,
20220206,Glade,13:46,HC061,M,Minus,105,95,0.73,14:10,
20220206,Glade,14:14,MM005,M,Plus,NA,NA,0.4,14:21,
20220206,Glade,14:22,MM030,L,Plus,NA,NA,0.49,14:29,
20220206,Glade,14:32,MM048,M,Minus,NA,NA,0.21,14:39,
20220206,Laura,10:56,HC078,H,Minus,13,0,0.26,11:06,seedling very nearly dead
20220206,Laura,11:20,HC079,M,Minus,34,23,0.31,11:28,
20220206,Laura,11:30,HC040,M,Minus,153,115,0.52,11:46,Big root system
20220206,Laura,11:49,MM003,H,Minus,NA,NA,0.54,11:55,
