03/18/22 Hebeloma Project Seedling Dry Mass IM,
,
ID,mass (g)
MM051,0.07
HC082,0.089
HC022,0.07
HC053,0.116
MM105,0.062
HC077,0.08
MM047,0.041
HC027,0.099
MM091,0.064
HC021,0.046
HC062,0.064
HC101,0.038
HC046,0.103
MM031,0.094
MM029,0.084
HC075,0.062
MM044,0.108
MM079,0.093
HC066,0.073
MM010,0.11
MM045,0.066
HC067,0.08
MM087,0.077
MM082,0.065
HC048,0.059
MM064,0.101
HC003,0.086
MM038,0.056
HC042,0.12
HC007,0.098
HC068,0.097
MM101,0.085
MM056,0.098
HC028,0.115
MM043,0.084
HC105,0.092
MM015,0.078
HC058,0.085
HC091,0.096
HC020,0.079
MM017,0.108
MM066,0.08
MM034,0.081
HC008,0.092
MM057,0.063
HC032,0.059
HC096,0.069
HC013,0.043
HC084,0.017
HC006,0.057
HC041,0.064
HC071,0.053
HC100,0.091
HC047,0.092
HC076,0.09
HC029,0.058
HC043,0.042
HC039,0.102
HC088,0.087
HC036,0.1
HC103,0.036
HC017,0.103
HC031,0.074
HC086,0.065
HC098,0.075
HC057,0.075
HC025,0.055
HC037,0.091
MM103,0.066
MM093,0.068
MM063,0.059
MM021,0.088
MM086,0.095
MM050,0.094
MM084,0.087
MM007,0.063
MM060,0.077
MM065,0.054
MM001,0.092
MM028,0.101
MM052,0.082
MM032,0.087
MM024,0.062
MM072,0.093
MM096,0.075
MM073,0.102
MM062,0.067
MM068,0.041
MM016,0.068
MM058,0.014
HC014,0.079
MM095,0.057
MM075,0.1
MM014,0.033
MM004,0.094
HC004,0.101
MM035,0.103
HC052,0.102
MM092,0.105
MM094,0.046
HC093,0.092
HC090,0.084
HC019,0.141
HC024,0.062
HC016,0.084
HC097,0.067
MM046,0.104
HC102,0.084
MM024,0.074
HC065,0.065
HC040,0.086
MM081,0.092
MM098,0.086
HC030,0.08
MM048,0.046
MM030,0.093
MM008,0.122
MM077,0.109
HC092,0.078
HC080,0.101
HC064,0.041
MM054,0.106
HC073,0.093
HC095,0.098
HC023,0.053
MM061,0.08
MM002,0.122
MM039,0.108
MM049,0.057
MM018,0.09
MM005,0.079
HC061,0.073
HC011,0.089
HC044,0.113
HC079,0.063
MM003,0.091
MM033,0.088
HC051,0.091
HC078,0.026
MM026,0.09
MM042,0.066
HC015,0.066
HC074,0.074
MM067,0.075
MM023,0.082
MM070,0.07
HC072,0.086
HC070,0.063
HC063,0.123
HC018,0.1
HC089,0.089
MM022,0.065
MM011,0.131
MM088,0.119
MM012,0.118
HC010,0.112
HC002,0.068
HC001,0.054
HC038,0.077
MM078,0.078
MM019,0.065
HC045,0.119
HC087,0.056
MM037,0.77
