"harvest_day","seedling","water_potential_m_pa","notes_WP","date","harvester","time","water_level","n","total_tips","colonized_tips","root_mass_mg","frozen_at_time","notes_COL","colonized"
1,"MM079",-2.4,NA,20220204,"Isobel",14:40:00,"L","Plus",NA,NA,0.58,"14:45",NA,"N"
3,"MM028",-2.4,NA,20220210,"Isobel",15:04:00,"M","Minus",NA,NA,0.34,"15:09",NA,"N"
1,"MM047",-2.3,"snipped end of stem for clearer reading",20220204,"Isobel",11:45:00,"M","Minus",NA,NA,0.31,"12:00",NA,"N"
1,"HC075",-2.1,NA,20220204,"Oceana",12:30:00,"L","Plus",73,62,0.42,"12:55",NA,"Y"
1,"HC062",-2.1,NA,20220204,"Isobel",10:50:00,"L","Plus",60,32,0.34,"11:40",NA,"Y"
1,"HC077",-2.1,NA,20220204,"Isobel",15:02:00,"M","Minus",48,43,0.39,"15:15",NA,"Y"
2,"HC011",-2.1,NA,20220206,"Oceana",12:23:00,"L","Plus",99,83,0.27,"12:34",NA,"Y"
1,"MM091",-2,NA,20220204,"Isobel",12:35:00,"L","Plus",NA,NA,0.5,"12:45",NA,"N"
2,"MM098",-2,NA,20220206,"Laura",11:55:00,"H","Plus",NA,NA,0.75,"12:03","shoot partly dead","N"
2,"MM033",-2,NA,20220206,"Glade",12:09:00,"L","Plus",NA,NA,0.59,"12:20",NA,"N"
3,"HC096",-2,NA,20220210,"Isobel",13:50:00,"H","Plus",41,36,0.4,"14:08",NA,"Y"
3,"HC088",-2,NA,20220210,"Oceana",14:32:00,"M","Plus",105,97,0.47,"14:50",NA,"Y"
3,"HC037",-1.9,NA,20220210,"Isobel",14:38:00,"L","Plus",101,95,0.56,"14:55",NA,"Y"
3,"HC098",-1.9,NA,20220210,"Isobel",13:27:00,"L","Plus",44,34,0.43,"13:43",NA,"Y"
3,"HC100",-1.9,NA,20220210,"Oceana",13:39:00,"H","Minus",61,49,0.5,"13:55",NA,"Y"
3,"HC017",-1.9,NA,20220210,"Laura",13:37:00,"M","Minus",73,47,0.59,"13:52",NA,"Y"
3,"MM021",-1.9,NA,20220210,"Isobel",13:44:00,"L","Plus",NA,NA,0.52,"13:50",NA,"N"
1,"MM015",-1.8,NA,20220204,"Laura",14:12:00,"L","Plus",NA,NA,0.39,"14:22",NA,"N"
2,"HC092",-1.8,NA,20220206,"Oceana",10:56:00,"L","Plus",91,60,0.43,"11:18",NA,"Y"
2,"HC040",-1.8,NA,20220206,"Laura",11:30:00,"M","Minus",153,115,0.52,"11:46","Big root system","Y"
4,"MM094",-1.8,NA,20220214,"Isobel",12:45:00,"H","Plus",NA,NA,0.26,"12:48",NA,"N"
4,"HC019",-1.8,NA,20220214,"Isobel",12:48:00,"H","Plus",104,102,0.64,"13:00",NA,"Y"
2,"HC030",-1.7,NA,20220206,"Oceana",14:41:00,"L","Plus",94,79,0.36,"14:53",NA,"Y"
2,"HC079",-1.7,NA,20220206,"Laura",11:20:00,"M","Minus",34,23,0.31,"11:28",NA,"Y"
2,"MM026",-1.7,NA,20220206,"Glade",11:26:00,"L","Plus",NA,NA,0.62,"11:39",NA,"N"
3,"HC013",-1.7,NA,20220210,"Oceana",14:58:00,"H","Plus",25,0,0.14,"15:06","poor condition. 1 spot of hyphae seen, no colonized tips","Y"
3,"HC086",-1.7,NA,20220210,"Laura",12:54:00,"M","Minus",54,29,0.47,"1:05",NA,"Y"
3,"HC031",-1.7,NA,20220210,"Oceana",14:18:00,"M","Minus",44,41,0.33,"14:31",NA,"Y"
3,"HC036",-1.7,NA,20220210,"Laura",13:16:00,"M","Plus",125,97,0.55,"13:30",NA,"Y"
3,"MM073",-1.7,NA,20220210,"Laura",14:58:00,"H","Minus",NA,NA,0.47,"15:05",NA,"N"
