Entry number,Date,Harvest day,Plant,Water potential (MPa),Notes
1,220204,1,HC028,-1.4,
2,220204,1,MM056,-0.8,
3,220204,1,MM087,-1,
4,220204,1,HC101,-0.7,
5,220204,1,MM044,-0.9,
6,220204,1,HC091,-1,
7,220204,1,HC021,-0.9,
8,220204,1,MM064,-1.45,
9,220204,1,MM017,-1.4,
10,220204,1,MM066,-1.1,
11,220204,1,MM101,-0.9,
12,220204,1,MM045,-1.4,
13,220204,1,MM029,-1.6,
14,220204,1,MM031,-0.9,
15,220204,1,HC003,-1.4,
16,220204,1,MM079,-2.4,
17,220204,1,HC048,-1.3,
18,220204,1,MM082,-1.1,
19,220204,1,HC007,-1.2,
20,220204,1,MM034,-1.1,
21,220204,1,HC020,-1.1,
22,220204,1,HC075,-2.1,
23,220204,1,HC046,-1.4,
24,220204,1,HC068,-1.15,
25,220204,1,MM043,-0.7,trimmed stem for better reading
26,220204,1,HC105,-0.8,
27,220204,1,HC027,-1.5,
28,220204,1,MM015,-1.8,
29,220204,1,HC008,-1.5,
30,220204,1,MM057,-1.3,
31,220204,1,HC067,-1.1,
32,220204,1,HC058,-1.6,
33,220204,1,HC042,-1.6,
34,220204,1,MM047,-2.3,snipped end of stem for clearer reading
35,220204,1,MM010,-1.1,
36,220204,1,MM038,-1.2,
37,220204,1,HC066,-1.4,
38,220204,1,HC062,-2.1,
39,220204,1,HC077,-2.1,
40,220204,1,MM091,-2,
41,220206,2,MM005,-0.9,
42,220206,2,MM018,-1.1,
43,220206,2,MM049,-0.8,
44,220206,2,MM039,-1.2,
45,220206,2,MM002,-1.1,
46,220206,2,MM061,-1.4,
47,220206,2,HC023,-1.2,
48,220206,2,HC095,-1.2,
49,220206,2,HC073,-0.9,
50,220206,2,MM054,-1.1,
51,220206,2,HC064,-1.1,
52,220206,2,HC080,-0.9,
53,220206,2,HC092,-1.8,
54,220206,2,MM077,-1.4,
55,220206,2,MM008,-1.3,
56,220206,2,MM030,-1.5,
57,220206,2,MM048,-1.3,
58,220206,2,HC030,-1.7,
59,220206,2,MM098,-2,
60,220206,2,MM081,-1.2,
61,220206,2,HC040,-1.8,
62,220206,2,HC065,-0.9,
63,220206,2,MM025,-0.7,
64,220206,2,HC102,-1.3,
65,220206,2,MM046,-1.15,
66,220206,2,HC097,-1.4,
67,220206,2,HC079,-1.7,
68,220206,2,MM105,-1.1,
69,220206,2,HC053,-1.3,
70,220206,2,HC044,-1.4,
71,220206,2,HC011,-2.1,
72,220206,2,HC061,-1.5,
73,220206,2,HC022,-1.2,
74,220206,2,HC082,-1.1,
75,220206,2,MM051,-1.2,
76,220206,2,MM026,-1.7,
77,220206,2,HC078,-1.3,
78,220206,2,HC051,-1.6,
79,220206,2,MM033,-2,
80,220206,2,MM003,-0.7,
81,220210,3,MM024,-1.5,"11:45am, startin 1375 psi"
82,220210,3,MM016,-1.2,
83,220210,3,HC041,-1.3,
84,220210,3,MM072,-1.1,
85,220210,3,MM065,-1.1,
86,220210,3,HC047,-1.6,
87,220210,3,HC057,-1,
88,220210,3,MM084,-1.2,
89,220210,3,HC043,-1.1,
90,220210,3,HC025,-1.3,
91,220210,3,HC103,-1.5,
92,220210,3,MM050,-1.4,"12:05pm, 1350 psi"
93,220210,3,HC076,-1.4,
94,220210,3,MM103,-1.1,
95,220210,3,MM058,-0.8,may be mislabeled (MM058?) LB FIXED 4/11/22
96,220210,3,MM060,-1.1,
97,220210,3,HC037,-1.9,
98,220210,3,MM058,-1.3,
99,220210,3,MM001,-1.2,
100,220210,3,MM096,-0.9,
101,220210,3,MM068,-1.2,
102,220210,3,HC029,-1,
103,220210,3,MM007,-1,
104,220210,3,MM063,-0.9,
105,220210,3,HC006,-1.3,
