harvest_day,seedling,water_potential_m_pa,approximate_measurement_time,notes_WP,date,harvester,time,water_level,n,total_tips,colonized_tips,root_mass_mg,frozen_at_time,notes_COL,colonized,percent_col,minutes_in_cooler,drydown_day,corrected_phi,ID,mass (g)
1,MM079,-2.4,16:30:00,NA,20220204,Isobel,14:40:00,L,Plus,NA,NA,0.58,14:45,NA,N,0,110,1,-2.22829,MM079,0.093
3,MM028,-2.4,16:26:00,NA,20220210,Isobel,15:04:00,M,Minus,NA,NA,0.34,15:09,NA,N,0,82,7,-2.271998,MM028,0.101
1,MM047,-2.3,17:06:00,snipped end of stem for clearer reading,20220204,Isobel,11:45:00,M,Minus,NA,NA,0.31,12:00,NA,N,0,321,1,-1.798919,MM047,0.041
1,HC075,-2.1,16:42:00,NA,20220204,Oceana,12:30:00,L,Plus,73,62,0.42,12:55,NA,Y,84.93150684931507,252,1,-1.706628,HC075,0.062
1,HC062,-2.1,17:14:00,NA,20220204,Isobel,10:50:00,L,Plus,60,32,0.34,11:40,NA,Y,53.333333333333336,384,1,-1.500576,HC062,0.064
1,HC077,-2.1,17:16:00,NA,20220204,Isobel,15:02:00,M,Minus,48,43,0.39,15:15,NA,Y,89.58333333333334,134,1,-1.890826,HC077,0.08
2,HC011,-2.1,17:00:00,NA,20220206,Oceana,12:23:00,L,Plus,99,83,0.27,12:34,NA,Y,83.83838383838383,277,3,-1.667603,HC011,0.089
1,MM091,-2,17:18:00,NA,20220204,Isobel,12:35:00,L,Plus,NA,NA,0.5,12:45,NA,N,0,283,1,-1.558237,MM091,0.064
2,MM098,-2,16:36:00,NA,20220206,Laura,11:55:00,H,Plus,NA,NA,0.75,12:03,shoot partly dead,N,0,281,3,-1.561359,MM098,0.086
2,MM033,-2,17:16:00,NA,20220206,Glade,12:09:00,L,Plus,NA,NA,0.59,12:20,NA,N,0,307,3,-1.520773,MM033,0.088
3,HC096,-2,16:42:00,NA,20220210,Isobel,13:50:00,H,Plus,41,36,0.4,14:08,NA,Y,87.8048780487805,172,7,-1.731508,HC096,0.069
3,HC088,-2,17:00:00,NA,20220210,Oceana,14:32:00,M,Plus,105,97,0.47,14:50,NA,Y,92.38095238095238,148,7,-1.768972,HC088,0.087
3,HC037,-1.9,16:08:00,NA,20220210,Isobel,14:38:00,L,Plus,101,95,0.56,14:55,NA,Y,94.05940594059405,90,7,-1.75951,HC037,0.091
3,HC098,-1.9,16:34:00,NA,20220210,Isobel,13:27:00,L,Plus,44,34,0.43,13:43,NA,Y,77.27272727272727,187,7,-1.608093,HC098,0.075
3,HC100,-1.9,16:38:00,NA,20220210,Oceana,13:39:00,H,Minus,61,49,0.5,13:55,NA,Y,80.32786885245902,179,7,-1.620581,HC100,0.091
3,HC017,-1.9,17:02:00,NA,20220210,Laura,13:37:00,M,Minus,73,47,0.59,13:52,NA,Y,64.38356164383562,205,7,-1.579995,HC017,0.103
3,MM021,-1.9,17:04:00,NA,20220210,Isobel,13:44:00,L,Plus,NA,NA,0.52,13:50,NA,N,0,200,7,-1.5878,MM021,0.088
1,MM015,-1.8,16:54:00,NA,20220204,Laura,14:12:00,L,Plus,NA,NA,0.39,14:22,NA,N,0,162,1,-1.547118,MM015,0.078
